Evaporator Area,Condenser Area,Compressor Design Flow,Capacity,Outside Air Temperature,Success,Annual Operating Cost,Annualized Capital Cost,Annualized Capital Compressor Cost,Annualized Capital Evaporator Cost,Annualized Capital Condenser Cost,Total Annualized Cost,Total Equp Cost,Experimental Op Cost
110,50,105,160,35,TRUE,46361.8571,37001.33016,29984.11791,4068.786552,2948.425692,83363.18726,37001.33015,
110,50,120,160,35,TRUE,45436.31848,40381.72867,33364.51642,4068.786552,2948.425692,85818.04714,40381.72866,
110,50,135,160,35,TRUE,45787.77344,43678.42713,36661.21489,4068.786552,2948.425692,89466.20057,43678.42713,
110,50,150,160,35,TRUE,46766.06921,46902.5106,39885.29836,4068.786552,2948.425692,93668.57981,46902.5106,
110,45,15,160,35,FALSE,0,0,0,0,0,0,0,
110,45,30,160,35,FALSE,0,0,0,0,0,0,0,
110,45,45,160,35,FALSE,0,0,0,0,0,0,0,
110,45,60,160,35,TRUE,292248.6692,26082.0501,19162.88256,4068.786552,2850.38098,318330.7193,26082.05009,
110,45,75,160,35,TRUE,65790.36691,29827.25584,22908.08831,4068.786552,2850.38098,95617.62274,29827.25584,
110,45,90,160,35,TRUE,50416.87448,33424.53596,26505.36843,4068.786552,2850.38098,83841.41044,33424.53596,
110,45,105,160,35,TRUE,46361.8571,36903.28545,29984.11791,4068.786552,2850.38098,83265.14255,36903.28544,
110,45,120,160,35,TRUE,45436.31848,40283.68395,33364.51642,4068.786552,2850.38098,85720.00243,40283.68395,
110,45,135,160,35,TRUE,45787.77344,43580.38242,36661.21489,4068.786552,2850.38098,89368.15586,43580.38242,
110,45,150,160,35,TRUE,46766.06921,46804.46589,39885.29836,4068.786552,2850.38098,93570.53509,46804.46589,
110,40,15,160,35,FALSE,0,0,0,0,0,0,0,
110,40,30,160,35,FALSE,0,0,0,0,0,0,0,
110,40,45,160,35,FALSE,0,0,0,0,0,0,0,
110,40,60,160,35,TRUE,292248.6692,25983.37112,19162.88256,4068.786552,2751.702002,318232.0404,25983.37111,
110,40,75,160,35,TRUE,65790.36691,29728.57686,22908.08831,4068.786552,2751.702002,95518.94376,29728.57686,
110,40,90,160,35,TRUE,50416.87448,33325.85698,26505.36843,4068.786552,2751.702002,83742.73146,33325.85698,
110,40,105,160,35,TRUE,46361.8571,36804.60647,29984.11791,4068.786552,2751.702002,83166.46357,36804.60646,
110,40,120,160,35,TRUE,45436.31848,40185.00498,33364.51642,4068.786552,2751.702002,85621.32345,40185.00497,
